cifar10_2_255_simplified-cifar10_spec_idx_44_eps_0.00784_n1, timeout, 30.3 (h), 8.6 (h), 8.6 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_45_eps_0.00784_n1, timeout, 30.1 (h), 8.6 (h), 11.7 (h), 1.0 (h), 4.1 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_46_eps_0.00784_n1, timeout, timeout, 8.6 (h), 12.0 (h), 1.0 (h), 4.3 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_48_eps_0.00784_n1, timeout, timeout, 45.9 (h), 79.4 (h), 5.0 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_50_eps_0.00784_n1, timeout, timeout, 52.5 (h), 155.5 (h), 10.2 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_51_eps_0.00784_n1, timeout, timeout, 31.7 (h), 25.8 (h), 1.8 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_53_eps_0.00784_n1, timeout, timeout, timeout, timeout, timeout, timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_54_eps_0.00784_n1, timeout, 30.7 (h), 8.5 (h), 10.0 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_55_eps_0.00784_n1, timeout, 29.9 (h), 8.5 (h), 9.1 (h), 1.0 (h), 4.3 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_60_eps_0.00784_n1, timeout, 33.7 (h), 8.5 (h), 12.1 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_62_eps_0.00784_n1, timeout, 31.7 (h), 8.5 (h), 10.6 (h), 1.0 (h), 4.0 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_64_eps_0.00784_n1, timeout, timeout, 39.4 (h), 58.5 (h), 3.0 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_65_eps_0.00784_n1, timeout, timeout, 1.0 (v), 14.8 (v), 1.0 (v), 4.4 (v), -
cifar10_2_255_simplified-cifar10_spec_idx_66_eps_0.00784_n1, timeout, timeout, 37.2 (h), 30.7 (h), 2.1 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_67_eps_0.00784_n1, timeout, 29.2 (h), 9.0 (h), 8.3 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_68_eps_0.00784_n1, timeout, timeout, 47.3 (h), 69.3 (h), 5.8 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_71_eps_0.00784_n1, timeout, timeout, 44.6 (h), 108.6 (h), 6.3 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_72_eps_0.00784_n1, timeout, 28.0 (h), 9.0 (h), 8.2 (h), 1.0 (h), 4.3 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_73_eps_0.00784_n1, timeout, 32.8 (h), 9.0 (h), 11.4 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_74_eps_0.00784_n1, timeout, timeout, 1.0 (v), 11.7 (v), 1.0 (v), 4.1 (v), 1.1 (v)
cifar10_2_255_simplified-cifar10_spec_idx_75_eps_0.00784_n1, timeout, 31.9 (h), 8.6 (h), 9.9 (h), 1.0 (h), 4.3 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_76_eps_0.00784_n1, timeout, timeout, 2.1 (v), 13.3 (v), 1.0 (v), 4.3 (v), -
cifar10_2_255_simplified-cifar10_spec_idx_77_eps_0.00784_n1, timeout, timeout, 30.2 (h), 19.4 (h), 1.4 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_78_eps_0.00784_n1, timeout, 300.5 (h), 8.6 (h), 12.0 (h), 1.0 (h), 4.3 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_79_eps_0.00784_n1, timeout, 28.8 (h), 8.6 (h), 6.7 (h), 1.0 (h), 4.3 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_80_eps_0.00784_n1, timeout, 31.4 (h), 8.5 (h), 10.6 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_81_eps_0.00784_n1, timeout, 29.2 (h), 8.6 (h), 8.6 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_82_eps_0.00784_n1, timeout, 32.1 (h), 8.6 (h), 11.3 (h), 1.0 (h), 4.1 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_83_eps_0.00784_n1, timeout, 30.0 (h), 8.6 (h), 9.1 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_84_eps_0.00784_n1, timeout, 30.3 (h), 8.6 (h), 8.4 (h), 1.0 (h), 4.3 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_86_eps_0.00784_n1, timeout, timeout, 1.0 (v), 12.2 (v), 1.0 (v), 4.3 (v), -
cifar10_2_255_simplified-cifar10_spec_idx_88_eps_0.00784_n1, timeout, 32.3 (h), 8.8 (h), 11.5 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_89_eps_0.00784_n1, timeout, 32.6 (h), 8.8 (h), 14.0 (h), 1.0 (h), 4.3 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_90_eps_0.00784_n1, timeout, 29.6 (h), 8.8 (h), 11.0 (h), 1.0 (h), 4.3 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_92_eps_0.00784_n1, timeout, 31.6 (h), 8.8 (h), 9.1 (h), 1.0 (h), 4.1 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_93_eps_0.00784_n1, timeout, timeout, 11.4 (h), 13.0 (h), 1.3 (h), timeout, -
cifar10_2_255_simplified-cifar10_spec_idx_94_eps_0.00784_n1, timeout, 294.0 (h), 8.6 (h), 12.3 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_95_eps_0.00784_n1, timeout, timeout, 1.0 (v), 15.7 (v), 1.0 (v), 4.4 (v), -
cifar10_2_255_simplified-cifar10_spec_idx_96_eps_0.00784_n1, timeout, 34.9 (h), 8.6 (h), 16.2 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_97_eps_0.00784_n1, timeout, 194.1 (h), 8.7 (h), 6.9 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_98_eps_0.00784_n1, timeout, 26.9 (h), 8.6 (h), 5.1 (h), 1.0 (h), 4.2 (h), -
cifar10_2_255_simplified-cifar10_spec_idx_99_eps_0.00784_n1, timeout, 31.9 (h), 8.6 (h), 10.6 (h), 1.0 (h), 4.3 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_1_eps_0.03137_n1, timeout, 108.4 (h), 7.0 (h), 1.5 (h), 1.0 (h), 118.4 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_2_eps_0.03137_n1, timeout, timeout, 17.9 (h), 7.1 (h), 1.4 (h), timeout, -
cifar10_8_255_simplified-cifar10_spec_idx_4_eps_0.03137_n1, timeout, timeout, 1.0 (v), 2.1 (v), 31.1 (v), 4.5 (v), -
cifar10_8_255_simplified-cifar10_spec_idx_5_eps_0.03137_n1, timeout, timeout, 15.3 (h), 9.2 (h), 2.6 (h), timeout, -
cifar10_8_255_simplified-cifar10_spec_idx_9_eps_0.03137_n1, timeout, 122.6 (v), 1.0 (v), 1.9 (v), 1.0 (v), 4.2 (v), 1.0 (v)
cifar10_8_255_simplified-cifar10_spec_idx_10_eps_0.03137_n1, timeout, timeout, timeout, timeout, error, timeout, -
cifar10_8_255_simplified-cifar10_spec_idx_11_eps_0.03137_n1, timeout, timeout, 7.7 (h), 2.1 (h), 1.0 (h), 249.9 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_13_eps_0.03137_n1, timeout, 104.4 (h), 5.1 (h), 1.2 (h), 1.0 (h), 4.0 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_14_eps_0.03137_n1, timeout, timeout, 39.3 (h), 222.4 (h), 21.8 (h), timeout, -
cifar10_8_255_simplified-cifar10_spec_idx_15_eps_0.03137_n1, timeout, timeout, 32.9 (h), 54.2 (h), 21.1 (h), timeout, -
cifar10_8_255_simplified-cifar10_spec_idx_16_eps_0.03137_n1, timeout, 13.6 (h), 5.1 (h), 1.6 (h), 1.0 (h), 4.1 (h), -
cifar10_8_255_simplified-cifar10_spec_idx_18_eps_0.03137_n1, timeout, 13.4 (h), 5.1 (h), 1.2 (h), 1.0 (h), 4.2 (h), -
